speed_actual,speed_target,soc,ice_torque,nox,co,fuel
24.662653,26.003,0.7080511,181.11743,0.016242202,0.016458416,33.19645690917969
26.192356,27.546,0.7080954,153.34537,0.01950231,0.017274782,32.42338562011719
27.81666,29.039,0.7081102,172.22362,0.02019597,0.01758826,33.91227722167969
29.353779,30.485,0.7081446,162.73314,0.021712817,0.01663025,30.697092056274414
30.790579,31.873,0.708157,152.40955,0.022674311,0.015591095,30.62822914123535
32.13583,33.051,0.7081575,164.73122,0.022727083,0.014592114,33.51609802246094
33.283302,33.968,0.7081823,160.8888,0.024381949,0.012574244,29.31627655029297
34.110405,34.688,0.7082412,134.47629,0.025528608,0.010752177,26.93976593017578
34.860188,35.277,0.70830345,190.91957,0.019297695,0.011754011,44.511878967285156
35.359142,35.787,0.7083698,138.42012,0.022653032,0.012642613,16.89051055908203
35.7694,36.269,0.708413,148.02415,0.017220147,0.016606616,42.196739196777344
36.37902,36.761,0.7084323,213.64618,0.015796592,0.015605447,38.71147537231445
36.64558,37.27,0.70848703,83.492905,0.02106777,0.018042177,14.810569763183594
37.065178,37.795,0.70850325,128.60298,0.014684927,0.024176687,54.708160400390625
37.816105,38.299,0.70850307,208.27931,0.0121637285,0.0173663,53.631736755371094
38.29707,38.74,0.7085669,114.39063,0.020918248,0.01956595,17.695751190185547
38.694027,39.083,0.7086425,130.39919,0.015448563,0.0246007,52.92530822753906
39.213127,39.293,0.7087298,209.55258,0.015605732,0.01905569,48.45425796508789
39.289852,39.353,0.70886886,91.36586,0.022994695,0.022323003,11.501693725585938
39.228104,39.249,0.70899427,119.64067,0.0150909275,0.028035993,46.08409118652344
39.26594,39.044,0.7091115,192.81781,0.015656784,0.019078659,44.958438873291016
39.02247,38.798,0.70921844,99.34445,0.022001488,0.018909238,10.407232284545898
38.64792,38.478,0.7092873,115.8073,0.013966868,0.024281742,41.87896728515625
38.44731,38.007,0.709337,196.88322,0.015148228,0.016557788,41.64897155761719
37.948334,37.53,0.70940226,81.73411,0.020110296,0.021840785,4.657526969909668
37.27622,37.219,0.70944285,90.05744,0.012186927,0.028838411,34.250389099121094
36.95877,37.057,0.7095008,185.9071,0.011152371,0.018596178,44.520851135253906
36.85496,36.894,0.7096292,138.72163,0.018001484,0.013268357,15.218986511230469
36.74911,36.68,0.70976704,133.32729,0.012111256,0.016079191,36.80393981933594
36.747196,36.366,0.70991623,198.81221,0.013347307,0.014621609,36.23662567138672
36.308907,36.009,0.7101005,46.643124,0.017560642,0.024905799,3.0
35.755604,35.673,0.71020406,89.71112,0.012693785,0.032229386,35.073204040527344
35.440094,35.365,0.71031904,186.5847,0.011133281,0.018202946,44.18558120727539
35.177036,35.043,0.7104678,116.01231,0.019357035,0.014566531,9.673572540283203
34.827168,34.729,0.7105835,111.514915,0.012194333,0.0186572,38.545406341552734
34.6698,34.43,0.7107044,193.84831,0.014185925,0.014173761,40.52663040161133
34.343548,33.968,0.7108568,81.31653,0.01944079,0.018837845,4.533963680267334
33.76751,33.126,0.710955,96.287315,0.012497007,0.025149249,37.4800910949707
33.11068,31.813,0.71105295,175.80873,0.013572602,0.014530405,32.42378234863281
31.963377,29.948,0.7111316,51.086327,0.01818216,0.024244884,3.0
30.138208,27.739,0.71107554,-64.787025,0.009735352,0.064606234,3.0
28.290915,25.258,0.7109761,83.19738,0.011372967,0.05150547,34.98895263671875
26.332912,22.695,0.7110378,100.58236,0.010230198,0.038806174,3.0
